respondent,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21
r1,0,0,2,1,1,0,1,2,1,1,0,0,0,0,1,0,1,2,0,1,1
r2,0,0,2,1,1,0,1,2,1,1,0,0,0,0,1,0,1,2,0,1,1
r3,2,2,0,1,1,2,1,0,1,1,2,2,2,2,1,2,3,4,2,1,1
r4,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,2,3,1,0,0
r5,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,2,3,1,0,0
r6,0,0,2,1,1,0,1,2,1,1,0,0,0,0,1,0,1,2,0,1,1
r7,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,2,3,1,0,0
r8,2,2,0,1,1,2,1,0,1,1,2,2,2,2,1,2,3,4,2,1,1
r9,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,2,3,1,0,0
r10,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,2,3,1,0,0
r11,0,0,2,1,1,0,1,2,1,1,0,0,0,0,1,0,1,2,0,1,1
r12,0,0,2,1,1,0,1,2,1,1,0,0,0,0,1,0,1,2,0,1,1
r13,0,0,2,1,1,0,1,2,1,1,0,0,0,0,1,0,1,2,0,1,1
r14,0,0,2,1,1,0,1,2,1,1,0,0,0,0,1,0,1,2,0,1,1
r15,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,2,3,1,0,0
r16,0,0,2,1,1,0,1,2,1,1,0,0,0,0,1,0,1,2,0,1,1
r17,1,1,3,2,2,1,2,3,2,2,1,1,1,1,2,1,0,1,1,2,2
r18,2,2,4,3,3,2,3,4,3,3,2,2,2,2,3,2,1,0,2,3,3
r19,0,0,2,1,1,0,1,2,1,1,0,0,0,0,1,0,1,2,0,1,1
r20,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,2,3,1,0,0
r21,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,2,3,1,0,0
